Tau,Annualized_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Herfindahl_Index,Risk_Aversion
0.005,0.20206250065724474,0.1290541421732571,1.1007976827781607,-0.15215357614978534,0.03911169767640439,8.351955416369334
0.01,0.2032156817481603,0.12898544853311145,1.1103243302006727,-0.15002506002369864,0.03905376770693407,8.351955416369334
0.015,0.20434591815563752,0.1289332064352287,1.1195402809450146,-0.1479322875191712,0.039126206049653944,8.351955416369334
0.02,0.20541407710892212,0.1288991318043414,1.1281230142779324,-0.1458533893227644,0.039310901929943166,8.351955416369334
0.025,0.20592024431433997,0.12882269390644766,1.1327215717155297,-0.14403258359833082,0.03946523343485807,8.351955416369334
0.030000000000000002,0.2060914495066406,0.1287184871416904,1.1349686649581767,-0.14263232167489376,0.039593895272753456,8.351955416369334
0.034999999999999996,0.20628316946912628,0.12867760803018027,1.1368191537630756,-0.14168630643373134,0.03968212358186861,8.351955416369334
0.04,0.20646826445529798,0.12864658535425288,1.1385320803655201,-0.14076594334356218,0.039850046178582316,8.351955416369334
0.045,0.20663825385167978,0.1286339609853332,1.1399653149792957,-0.13985643001775733,0.04006185558844352,8.351955416369334
0.049999999999999996,0.2067708173335383,0.12866279758859525,1.1407401368874646,-0.13892371063013148,0.04023330136648301,8.351955416369334
0.055,0.2068982514102402,0.128698558234235,1.1414133415766885,-0.13801818320490997,0.040462933300662654,8.351955416369334
0.06,0.20697943180745093,0.12872546981655747,1.1418053631259346,-0.1371454569342634,0.040690875962030595,8.351955416369334
0.065,0.20705698639138026,0.1287580935216453,1.142118389370675,-0.13629857492839087,0.04096662951969414,8.351955416369334
0.07,0.20713128298992456,0.12879594043065207,1.1423596310408932,-0.13547638327449854,0.04128587044911869,8.351955416369334
0.07500000000000001,0.20720250568558307,0.12883850882237965,1.1425350000636885,-0.13467781829643138,0.04164445893127817,8.351955416369334
0.08,0.20727082562177235,0.12888534092306553,1.1426499287431107,-0.1339018765200695,0.04203862053792736,8.351955416369334
0.085,0.20733111883603983,0.12892983091471916,1.1427232766130921,-0.13315541233428382,0.04245646182140876,8.351955416369334
0.09000000000000001,0.20736518767268786,0.12895016182340222,1.1428073108935304,-0.13246506713390546,0.04286465157228718,8.351955416369334
0.095,0.20739755618486821,0.1289745666399301,1.1428420348670079,-0.13179425003906448,0.04329872468541693,8.351955416369334
0.1,0.2074283266501331,0.12900267561933088,1.1428315416121584,-0.13114214434035074,0.0437560136512654,8.351955416369334
